The higher the _____ of the router, the lower the ______ | Speed….processing delay
Regarding TCP, what can happen if timeout is much larger than the round-trip time | When a segment is lost, TCP would not quickly retransmit the segment, resulting in long data transfer delays into the application.
The transport layer protocol provides logical communication between ______, while the network layer protocol provides logical communication between _____. | Processes…..Hosts
While IPv4 is …byte-long, IPv6 is … byte-long | 4….16
The Internet provides two types of services to its applications | connectionless service and connection-oriented service
That the frequency spectrum of a link is shared among the connections established across the link is called….. | Frequency division multiplexing
If the buffer of the router in the Internet is full, the router will____ | Drop incoming packets, resulting packet loss
In OSI model, as data packet moves from the upper to the lower layer header are | Added
A program running in a network attached device that passively receives all  packet  passing by the device's network interface is | Packet sniffer
Suppose there are 5 routers between the source host and the destination host, 10ms is the processing delay at each router, 10ms is the propagation delay at each link, and 12ms is the transmission delay out of each router and the source, then the total delay is (ignore all other delays) | 192ms
Assume that an image is about 1000 x 800 pixels with 1 byte/pixel and it is uncompressed. How long does it take to transmit it over a 2 Mbps channel | 3.2 sec
The time delay for checking bit-level error in the packet that occurs at the router can be classified as the  | Processing Delay
Assume that the time it takes for a small packet to travel from the client to the server and then back to the client is 100 ms, then the round-trip time is | 100ms
Which one is not belong to application layer | ARP
An HTTP request message always contains  | a request line and a header
FTP uses port 21 for sending…. and port 20 for sending….. | Identification and password…. Data file
To talk with a mail server (with name serverName), we can use command | telnet serverName 25
The______ that together implement the DNS distributed database, store____ for the hostname to IP address mappings. | DNS servers….Resource Records
What type of DNS Server has the IP addresses of all names in the Autonomous? | authoritative
Which one is correct about P2P network | A user computer can be both client and server
Assume the RTT 50ms, the size of the Web object 0.4Mb and the transmission rate 10Mbps, how long does it take to download that object from a Web Server to a client if using non-persistent HTTP?? | 140ms
Which statement is correct about cookie technology? | Most major commercial Web sites today use cookies
Which of the following is the pipelining protocol: | Selective Repeat
The job of gathering data at the source host from different application processes, enveloping the data and passing the segments to the network layer is called | Multiplexing
Electronic mail uses ____ while streaming multimedia typically user | TCP……..UDP
Pipelined reliable data transfer protocols allow the sender to  | transmit multiple packets without waiting for an ACK
TCP connection provides  | Full-duplex service
How many duplicate ACKs to trigger the Fast Retransmission mode | 3
UDP and TCP use 1s complement checksum. Suppose you have the followings 2 bytes: 00110111 and 01001100. What is the 1s complement of the sum of those two bytes | 01111100
Suppose that Host A then sends two segments to Host B over a TCP connection. The first and second segments contain 30 and 40 bytes of data, respectively. In the first segment, the sequence number is 165. In the acknowledgement of the first arriving segment, what is the acknowledgment number | 195
Host A and B are communicating over a TCP connection, host A send to host B the first segment with size 40 bytes, sequence number 410, the source port 1028, the destination port 80. What is the ACK number, the source port number, the destination port number in the ACK segment sent by host B to host A | ACK number: 450, source port: 80, destination port: 1028
In ________, if timeout occurs while the current congestion window size is 64, the congestion window will reduce to 1 | The congestion avoidance phase of TCP congestion control
Which of the following is the pipelining protocol | Selective Repeat
The job of gathering data at the source host from different…..,enveloping the data with header information to create ….is called multiplexing | application processes…. segments
Which one is incorrect about UDP | Has congestion control
in the Internet is achieved through the use of acknowledgments and retransmissions | Reliable data transfer
To accomplish flow control, TCP uses a ___________ window protocol | sliding
In the ________ algorithm of the TCP congestion control, the size of the CONGWIN (congestion window) increases exponentially | slow start
Suppose that Host A then sends two segments to Host B over a TCP connection. The first and second segments contain 30 and 40 bytes of data, respectively. In the first segment, the sequence number is 145. In the acknowledgement of the first arriving segment, what is the acknowledgment number | 175
Host A and B are communicating over a TCP connection, host A send to host B the first segment with size 2105 bytes, sequence number 100, the source port 1028, the destination port 1029. What is the ACK number, the source port number, the destination port number in the ACK segment sent by host B to host A | ACK number: 2205, source port: 1029, destination port: 1028
In the congestion avoidance phase of TCP congestion control, if the timeout occurs at the current congestion window size 80, the congestion size will reduce to ___ and the is set to | 1…. 40
In classless addressing, __________ is assigned to an organization | a variable-length block
What type of service that Virtual Circuit network provide | Connection-oriented
What field in the IP header changes when a datagram is forwarded by a simple router | TTL
What is the data unit used in Internet Protocol (IP) | Datagram
What is tracert (in Windows machine) or traceroute (in Linux machine) program for | To  find the route path between the sender and receiver and to measure transit times of packets along the path
What does NAT stand for | Network Address Translation
Which one is not an IP address | 256.222.255.1
What is the 32-bit binary equivalent of the IP address 13.253.17.253 | 00001101.1111101.00010001.11111101
Suppose a subnet has a block of IP addresses 101.101.101.0/24, which address belongs to that block | 101.101.101.122
Suppose datagrams are limited to 1500bytes including IP header of 20 bytes. UDP header is 8 bytes. How many datagrams would be required to send an MP3 of  80000 bytes | 55
Which of the following is the service of link layer | Error detection
In CRC, both receiver and sender knows | The Generator
Assume the original message to be sent 101110, the generator is 1001. What is the transmitted message | 101110011
CSMA/CA belong to______ group, one of three broad classes of MAC protocols | Random access
CSMA/CD stands for | Carrier Sense Medium Access/Collision Detection
What is cut-through operation in switches | They start forwarding frames as soon as the destination header field has come in, but before the rest of frame has arrived
ARP is | Plug-and-play
Which one is a MAC address | F0-F0-16-F2-15-00
Which statement is correct about packet switching and circuit switching | With the same delay performance, packet-switching allows more number of users than circuit switching
Total nodal delay is accumulated from the following delays | Processing delay, queuing delay, transmission delay and propagation delay
Which layer in the Internet that connects directly to wire | None of them
Which one is correct about Denial of Service (DoS) attack | Attackers make network resources unavailable by overwhelming resource with bogus traffic
Suppose there are 3 routers between the source host and the destination host, 10ms is the processing delay at each router or host, 12ms is the propagation delay at each link, and 2ms is the transmission delay out of each router and the source, then the total delay is (ignore all other delays) | 96ms
There are 4 serial links between the client and the server, with the transmission rates being 1Mbps, 3Mbps, 2 Mbps, and 1 Mbps. What is the throughput between the client and the server | 1 Mbps
The lower the _____ of the router, the higher the  | Speed….processing delay
As soon as the browser receives the IP address from____, it can initiate a TCP connection to the HTTP server located at port_____ at that IP address | DNS… 80
While the____ significantly relies on  always-on infrastructure servers, the____does not (or minimally relies on) | Client-server model…Peer-to-Peer model
A Web page consists of _______ such as a HTML file, a JPEG image, a GIF image, a Java applet, an audio clip, etc | Objects
FTP uses port____ for sending identification and password and port____ for sending data | 21…20
The DNS servers that together implement the _____, store____ for the hostname to IP address mappings | DNS database ….Resource RecordsAn ISP has a DNS server that holds both names of Web servers and their IP addresses. That DNS servers is called | Authorative
The ability of P2P networks to handle many peers is called | Scalability
Assume the RTT 100ms, the size of the Web object 1kb and the transmission rate 100kbps, how long does it take to download that object from the Web Server to a client if using non-persistent HTTP | 210ms
Which one is INCORRECT about proxy | Proxy helps to remove the bottleneck of access link
Which of the following is the pipelining protocol | Selective Repeat
This job of delivering the data in a…. to the correct…. is called de-multiplexing | transport-layer segment….. application process
Which one is not in UDP segment header | ACK number
Reliable data transfer in TCP ensures that data is delivered from sending process to receiving process | Correctly and in order
TCP allows the sending process to deliver data as a _______of bytes and allows the receiving process to obtain data as a _________ of bytes | stream; stream
In Congestion avoidance of TCP congestion control, if timeout occurs while the current congestion window size is 16, the congestion window will | Reduce to 1
UDP and TCP use 1s complement checksum. Suppose you have the followings 2 bytes: 00111101 and 01010001. What is the 1s complement of the sum of those thow bytes | 01110001
Suppose that Host A then sends two segments to Host B over a TCP connection. The first and second segments contain 20 and 40 bytes of data, respectively. In the first segment, the sequence number is 145. In the acknowledgement of the first arriving segment, what is the acknowledgment number | 165
Host A and B are communicating over a TCP connection, host A send to host B the first segment with size 105 bytes, sequence number 600, the source port 1028, the destination port 1029. What is the ACK number, the source port number, the destination port number in the ACK segment sent by host B to host A | ACK number: 705, source port: 1029, destination port: 1028
In the congestion avoidance phase of TCP congestion control, if the timeout occurs while the current______ size is 64, the ____size will reduce to 1 | congestion window…. congestion window
Which method of networks access has the biggest difference between download and upstream speed | ADSL 
That an application can rely on the connection to deliver all of its data without error and in the proper order is called | Reliable data transfer
What are two fundamental switching approaches for building a network core | Circuit switching and packet switching
When does packet loss happen | Packet arriving to the full queue at the routers
Which layer in the Internet that connects directly to wire | None of them
What is DDoS stand for | Distributed Denial-of-Service
In the transmission delay calculation t = L/R, what is R | Link bandwidth of the link
Assume that an image is about 1000 x 800 pixels with 1 byte/pixel and it is uncompressed. How long does it take to transmit it over a 1 Mbps channel | 6.4sec
There are 4 serial links between the client and the server, with the transmission rates being 1Mbps, 3Mbps, 2 Mbps, and 0.5 Mbps. What is the throughput between the client and the server | 0.5 Mbps
The higher the _____ of the router, the lower the  | Speed….processing delay
As soon as the browser receives the IP address from____, it can initiate a TCP connection to the HTTP server located at port_____ at that IP address | DNS… 80
The client-server model significantly relies on  ____ infrastructure servers, the Peer-to-Peer model, instead, pairs of interminably connected peers, communicates ____ with each other | Always-on….directly
Although HTTP is____, if the webserver wants to identify the users, ____is used | Stateless…Cookies
FTP uses port 21 for sending…. and port 20 for sending | Identification and password…. Data file
MIME is short for | Multipurpose Internet Mail Extensions
Regarding to the DNS, IP addresses such as 209.191.122.70 or 10.22.8.8 are ____ to remember by human, but _____ to process by routers | Difficult… Easy
What type of DNS Server has the IP addresses of all names in the Autonomous | authoritative
Which of the following is hybrid of client-server and P2P | Skype
Assume the RTT 40ms, the size of the Web object 0.2Mb and the transmission rate 20Mbps, how long does it take to download that object from a Web Server to a client if using non-persistent HTTP | 90ms
Which one is incorrect about proxy | Client caches the whole website to improve the downloading speed
The connection establishment procedure in TCP is susceptible to a serious security problem called the _________ attack | SYN flooding
The job of delivering the data in a transport-layer segment to the correct socket is called | De-multiplexing
Which one is not in UDP segment header | Receiving Windows
rdt 1.1 assumes that the channel is | Perfectly reliable
TCP connection provides | Full-duplex service
In TCP congestion control, two important  variables the sender has to keep track are | Congestion window and the threshold
UDP and TCP use 1s complement checksum. Suppose you have the followings 2 bytes: 00110111 and 01011100. What is the 1s complement of the sum of those two bytes | 01101100
If the segment has sequence number of 128 and length of 8 bytes, the receiving computer will send ACK with value of  | 136
Host A and B are communicating over a TCP connection, host A send to host B the first segment with size 45 bytes, sequence number 200, the source port 1038, the destination port 80. What is the ACK number, the source port number, the destination port number in the ACK segment sent by host B to host A | ACK number: 245, source port: 80, destination port: 1038
In ________, if timeout occurs while the current congestion window size is 64, the congestion window will reduce to 1 | The congestion avoidance phase of TCP congestion control
How many default gateway addresses does a computer need to function on a LAN  (assume that not connect to other network) | 0
In a Datagram networks | No call setup and packets may take different paths for the same source-destination pair
The purpose of echo request and echo reply is to | check node-to-node communication
Which field in the IP header is used to prevent an IP packet from continuously looping through a network | Time-to-Live (TTL)
What type of routing algorithm that OSPF use | Link State Routing Algorithm
What is (are) correct about DHCP | All of the others
What is the 32-bit binary equivalent of the IP address 254.1.8.252 | 11111110.00000001.00001000.11111100
Suppose an ISP owns the block of addresses of the form 101.101.101.128/30, which address can be assigned to its customer | 101.101.101.129
Suppose datagrams are limited to 1500bytes including IP header of 20 bytes. UDP header is 8 bytes. How many datagrams would be required to send an MP3 of  50000 bytes | 34
in link layer guarantees to move each _____ datagrams across the link without error | Reliable delivery…..network
Single parity check can | Detect a single bit error
Assume the original message to be sent 101110, the generator is 1001. What is the remainder resulted during the CRC computation | 011
is used in Ethernet | CSMA/CD
Ethernet technologies provides ____ to the network layer | Unreliable service
Switch has a characteristic of | Self-learning
While MAC address is ___bit long, IP address is___ bit long | 48…32
Which one is a MAC address: | F0-F0-16-F2-15-00
In the exponential backoff  phase of CSMA/CD for a 50Mbps Ethernet, after the first collision of a frame, the adapter then waits …. before sensing the channel again. | Either 0 or 10.24 microseconds
Which is a protocol for wireless LAN | 802.11
There are two categories of physical transmission medium | Guided medium and unguided medium
What are the two methods of circuit switching | FDM and TDM
POP3 is short for | Post Office Protocol-Version 3
Assume a webpage has only 10 different images, using non-persistent HTTP, a client needs ______ to the server to load | 10 different TCP connections
In TCP, what can happen if timeout is much larger than the round-trip time | When a segment is lost, TCP would not quickly retransmit the segment, resulting in long data transfer delays into the application.
The transport layer protocol provides logical communication between ______, while the network layer protocol provides logical communication between | Processes…..Hosts
While IPv4 is …byte-long, IPv6 is … byte-long | 4….16
Given the subnet with address 201.14.78.0 and the subnet mask 255.255.255.0, which address belongs to that subnet | 201.14.78.64
Manchester encoding is to | Synchronize between the sender and the receiver
Slotted Aloha efficiency (useful transmission time) is approximately | 40%
are sets of rules or guidelines that govern interactions between two computer systems in a computer network | Network protocols
The packets in the application layer is called | Message
Today's Internet is a _______________network | packet-switched
Total nodal delay is accumulated from the following delays | Processing delay, queuing delay, transmission delay and propagation delay
In OSI model, as data packet moves from the upper to the lower layer header are | Added
A program running in a network attached device that passively receives all  packet  passing by the device's network interface is | Packet sniffer
What is the total delay for transmission of 1.25MB of images over fiber optic cable with distance of 4500 km with transmission rate of 1Gbps (ignore all other delays). Assume that the speed of propagation is 300,000km/sec | 25msec
There are 4 serial links between the client and the server, with the transmission rates being 1Mbps, 1Mbps, 2 Mbps, and 0.7 Mbps. What is the throughput between the client and the server | 0.7 Mbps
The ____on the physical medium of the link is a little less than or equal to the speed of light | Propagation  delay
HTTP, FTP, SMTP and POP3 run on top of | TCP
The client-server model significantly relies on  ____ infrastructure servers, the Peer-to-Peer model, instead, pairs of interminably connected peers, communicates ____ with each other | Always-on….directly
Because FTP uses a separate control connection different from data connection, FTP is said to sent its control information | Out-of-band
Which one is correct about SMTP | SMTP restricts the body of all mail messages to be in simple seven-bit ASCII
are responsible for domains such as com, org, gov, and all of the country domains such as uk, fr, ca, and jp | Top-level domain servers
In DNS, TLD  is short for | Top-Level Domain
Skype is a | None of them
Assume the RTT 50ms, the size of the Web object 0.4Mb and the transmission rate 10Mbps, how long does it take to download that object from a Web Server to a client if using non-persistent HTTP | 140ms
Which statement is correct about cookie technology | All of the others
The combination of an IP address and a port number is called a  | socket
The job of gathering data at the source host from different sockets, enveloping the data and passing the segments to the network layer is called | Multiplexing
applications typically uses  | Loss-tolerant……..UDP
in the Internet is achieved through the use of acknowledgments and retransmissions | Reliable data transfer
TCP assigns a sequence number to each segment that is being sent. The sequence number for each segment is the number of the _______ byte carried in that segment | first
In modern implementations of TCP, a retransmission occurs if the retransmission timer expires or ________ duplicate ACK segments have arrived | three
UDP and TCP use 1s complement checksum. Suppose you have the followings 2 bytes: 00101010 and 11001100. What is the 1s complement of the sum of those two bytes | 00001001
If the segment has sequence number of 118 and length of 8 bytes, the receiving computer will send ACK with value of  | 126
Host A and B are communicating over a TCP connection, host A send to host B the first segment with size 55 bytes, sequence number 100, the source port 1028, the destination port 80. What is the ACK number, the source port number, the destination port number in the ACK segment sent by host B to host A | ACK number: 155, source port: 80, destination port: 1028
In the congestion avoidance phase of TCP congestion control, if ____ occurs while the current congestion window size is 32, the congestion window will | Timeout……reduce to 1
The IP broadcast address is | 255.255.255.255
A Virtual Circuit maintains | Path from source to destination and forwarding tables in routers along path
Who can send ICMP error-reporting messages | Routers and destination hosts
What is the data unit used in Internet Protocol (IP) | Datagram
Which statement is correct about tracert program | To determine a router on the path, the program sends three packets with the same TTL
NAT table in router | Store pairs of the host’s IP address and the port number
Which one is not an IP address | 251.222.258.1
What is the 32-bit binary equivalent of the IP address 13.253.17.252 | 00001101.1111101.00010001.11111100
Suppose a subnet has a block of IP addresses 101.101.101.0/24, which address does not belong to that block | 101.101.111.0
Suppose datagrams are limited to 1500bytes including IP header of 20 bytes. UDP header is 8 bytes. How many datagrams would be required to send an MP3 of  600,000 bytes | 408
What is the name of packet in Link layer of Internet protocol stack | Frame
For even parity scheme (single), if the information is 101110, then information after adding parity bit is | 1011100
Assume the original message to be sent 100001, the generator is 1001. What is the transmitted message | 100001101
is used in Ethernet | CSMA/CD
In CSMA/CD, if the adapter detects signal energy from other adapters while transmitting | It stops transmitting its frame and transmits a jam signal
A method for encapsulating data in a PPP frame, identifying the beginning and end of the frame is called | Framing
The destination address field in an Ethernet frame is | 6-byte long
Which one is not a MAC address | A1-000-6C-2D-15-0A
Assume an Ethernet network has speed of 15Mbps. In the exponential backoff  phase of CSMA/CD, after the first collision of a frame, the adapter then waits …. before sensing the channel again | Either 0 or 34 microseconds
Multiple access link in 802.11 wireless LAN is a | Broadcast link
is a guided transmission medium, while___ is an unguided transmission medium | Fiber-optic cable…… Wireless LAN channel
The telephone networks are examples of | Circuit-switched networks
Three popular mail access protocols are | POP3,IMAP and HTTP
Assume a website has only 15 different objects, using persistent HTTP, a client needs ______ to the server | A single TCP connection
In TCP, what can happen if the timeout  is smaller than the connection's round-trip time | It can result in unnecessary retransmissions
One of the responsibilities of the transport layer protocol is to create a logical  communication between | Processes
While IPv4 address is …bit-long, IPv6 address is … bit-long | 32….128
Consider an IP subnet with prefix 139.27.229.96/28. Which address belongs to the subnet | 139.27.229.100
And encoding technique used in Ethernet that encodes bit 1 a transition from up to down and bit 0 a transition from down to up (of electrical signal) is called | Manchester encoding
Two types of ALOHA are | Pure ALOHA and slotted ALOHA
In classless addressing, __________ is assigned to an organization | a variable-length block
A datagram is fragmented into three smaller datagrams. Which of the following is true | The identification field is the same for all three datagrams
What field in the IP header changes when a datagram is forwarded by a simple router | TTL
IP is _________ datagram protocol | An unreliable and connectionless
What is tracert or traceroute program for | To  find the route path between the sender and receiver and to measure transit times of packets along the path
Which of the following describe the DHCP Discover message | It does not use a layer 2 destination address
Which one is not an IP address | 254.322.255.1
What is the 32-bit binary equivalent of the IP address 1.255.8.252 | 00000001.1111111.00001000.11111100
Suppose a subnet has a block of IP addresses 101.101.101.0/24, which address does not belong to that block | 101.101.102.0
Consider sending a 5550-byte datagram into a link that has an MTU of 520 bytes (including IP header of 20 bytes). How many fragments are generated | 12
Where is link layer implemented | NIC
For even parity scheme (single), if the information is 101010, then information after adding parity bit is | 1010101
Assume the original message to be sent 101001, the generator is 1001. What is the transmitted message | 101001001
Channel partitioning, random access, and taking turns are | MAC protocols
The most popular Ethernet network topology today is | Star
What is the framing method used in PPP | Byte stuffing
A table has following information: < IP address; MAC address; TTL>, where TTL is Time-To-Live. This table can be a (an) | APR table
The broadcast MAC address in LAN is | FF-FF-FF-FF-FF-FF
In the exponential backoff  phase of CSMA/CD for a 1Mbps Ethernet, after the first collision of a frame, the adapter then waits …. before sensing the channel again | Either 0 or 512 microseconds
What is the MAC protocol used in 802.11 network | CSMA/CA
There are two categories of__________: Guided medium and unguided medium | physical transmission medium
In _____, the network establishes a dedicated end-to-end connection  between two hosts | Circuit switching
IMAP is designed to allow users to manipulate______, so it is more | Remote mailboxes…. Complex
Assume a website has only 5 different images, using non-persistent HTTP, a client needs ______ to the server | 5 TCP connections
In TCP, what can happen if the timeout  is smaller than the connection's round-trip time | It can result in unnecessary retransmissions 
The transport layer protocol provides _____ communication between ______ running on different applications | Logical…..Processes
How “big” is an IPv6 Internet address | 128 bits
Given the IP address 201.14.78.65 and the subnet mask 255.255.255.224, what is the subnet address | 201.14.78.64
With the following Manchester encoding, the bit stream transmitted is [file:9157.jpg] | None of them
Which one is correct about ALOHA | Less bandwidth utilization than CSMA/CA

