#cost performance baseline is an output of | determine budget
#Cost Variance (CV) | Earned Value (EV) - Actual Cost (AC)
#Which of followings can be used to perform trend analysis to forecast future outcomes based on historical patterns ? | run chart
#Budget forecast and work performance measurement are an output of | control costs
#All of the following are important tools and techniques for developing project  schedule, except | progress reports
#Which of the following is a line chart that show data points plotted in the order in which they occur | run chart
#Which tool or technique for collecting requirements is often the most expensive and time consuming
#According to Luc Richard, the founder of www.projectmangler.com, five points of using project milestones include the following, except | Keep project milestones to be medium/large and nearly frequent
#Work performance measurements are output of | Estimating activities resources

Which of the following is a task at the lowest level of the WBS | A work package
# It is the middle of the project when the project manager is informed by her scheduler that the project control limits are secure. That same morning she receives a note from a team member about a problem he is having. The note says, "This activity is driving me crazy and the manager of the accounting department won't help me until the activity's float is in jeopardy." In addition, the project manager has e-mails from a minor stakeholder and 14 e-mails from team members. | Add the implemented corrective action to the historical records, discuss the value of documentation at the next team meeting, and smooth the team member with the accounting department problem
# The client demands changes to the product specification that will add only two weeks to the critical path. Which of the following is the BEST thing for the project manager to do? | Consult with the sponsor about options
# During project executing, the project manager determines that a change is needed to material purchased for the project. The project manager calls a meeting of the team to plan how to make the change. This is an example of: | Lack of a change management plan
# The project was going well when all of a sudden there were changes to the project coming from multiple stakeholders. After all the changes were determined, the project manager spent time with all the stakeholders to find out why there were changes and to discover any more. The project work has quieted down when a team member casually mentions to the project manager that he added functionality to a product of the project. "Do not worry," he says, "I did not impact time, cost, or quality!" What should a project manager do FIRST? | Ask the team member how he knows there is no time, cost, or quality impact
# You are asked to prepare a budget for completing a project that was started last year and then shelved for six months. All the following would be included in the budget EXCEPT: | Sunk costs
# Which of the following sequences represents straight line depreciation? | $100, $100, $100
# This project is chartered to determine new ways to extend the product life of one of the company's medium-producing products. The project manager comes from the engineering department, and the team comes from product management and marketing departments. | Look for how this schedule change will impact the cost to complete the work package and the quality of the product of the work package
# Project A has an internal rate of return (IRR) of 21 percent. Project B has an IRR of 7 percent. Project C has an IRR of 31 percent. Project D has an IRR of 19 percent. | Project C
# An output of the Close Project or Phase process is the creation of: | Project archives
# All of the following would occur during the Close Project or phase process EXCEPT: | Performing benefit cost analysis
# Which of the following is included in a project charter? | The business need for the project
# A project manager is trying to convince management to use more formal project management procedures and has decided to start improving the company's project management by obtaining a project charter. Wich of the following BEST describes why the project charter would help the project manager? | It gives the project manager authority
# Linear programming is an example of what type of project selection criteria? | Constrained optimization
# You have created the project charter, but could not get it approved. Your manager and his boss have asked that the project begins immediately. Which of the following is the BEST thing to do | Show your manager the impact of proceeding without approval
# The engineering department has uncovered a problem with the cost accounting system and has asked the systems department to analyze what is wrong and fix the problem. You are a project managerr working with the cost accounting programs on another project. Management has issued a change request to the change control board to add the new work to your project. | Develop a project charter
# All technical work is completed on the project. Which of the following remains to be done | Complete lessons learned
# Your company can accept one of the three posible projects. Project A has a net present value (NPV) of $30,000 and will take six years to complete. Project B has a net present value of $60,000 and will take three years to complete. Project C has an NPV of $90,000 and will take four years to complete. | Project C
# All of the following are factors in the assessment of project risk EXCEPT: | Insurance premiums
# If a project has a 60 percent chance of a $100,000 profit and a 40 percent chance of a $100,000 loss, the expected monetary value for the project is: | $20,000 profit
# Assuming that the ends of a range of estimates are +/- 3 sigma from the mean, which of the following range estimates involves the LEAST risk? | Optimistic = 26 days, most likely = 30 days, pessimistic = 33 days
# Which of the following risk events is MOST likely to interfere with attaining a project's schedule objective? | Delays in obtaining required approvals
# If a risk has a 20 percent chance of happening in a given month, and the project is expected to last five months, what is the probability that this risk event will occur during the fourth month of the project? | 20 percent
# If a risk event has a 90 percent chance of occurring, and the consequences will be $10,000, what does $9,000 represent? | Expected monetary value
# Risks will be identified during which risk management process(es)? | Identify Risks and Monitor and Control Risks
# What should be done with risks on the watchlist? | Document them and revisit during project monitoring and controlling
# All of the following are ALWAYS inputs to the risk management process EXCEPT: | Project status reports
# Risk tolerances are determined in order to help: | The team rank the project risks
# All of the following are common results of risk management EXCEPT: | The project charter is changed
# Purchasing insurance is BEST considered an example of risk: | Transfer
# You are finding it difficult to evaluate the exact cost impact of risks. You should evaluate on a(n): | Qualitative basis
# Outputs of the Plan Risk Responses process include: | Residual risks, fallback plans, and contingency reserves
# Workarounds are determined during which risk management process? | Monitor and Control Risks
# During which risk management process is a determination to transfer a risk made? | Plan Risk Responses
# A project manager has just finished the risk response plan for a $387,000 engineering project. Which of the following should he probably do NEXT? | Add work packages to the project work breakdown structure
# A project manager asked various stakeholders to determine the probability and impact of a number of risks. He then analyzed assumptions. He is about to move to the next step of risk management. Based on this information, what has the project manager forgotten to do? | Provide a standardized risk rating matrix
# A project manager has assembled the project team, identified 56 risks on the project, determined what would trigger the risks, rated them on a risk rating matrix, tested their assumptions, and assessed the quality of the data used. The team is continuing to move through the risk management process. What has the project manager forgotten to do? | Involvement of other stakeholders
# You are a project manager for the construction of a major new manufacturing plant that has never been done before. The project cost is estimated at $30,000,000 and will make use of three sellers. Once begun, the project cannot be cancelled, as there will be a large expenditure on plant and equipment. | Perform an identification of risks
# During the Plan Risk Management process, your team has come up with 434 risks and 16 major causes of those risks. The project is the last of a series of projects that the team has worked on together. The sponsor is very supportive, and a lot of time was invested in making sure the project work was complete and signed off by all key stakeholders. | Accept the risk
# A project manager is quantifying risk for her project. Several of her experts are offsite, but wish to be included. How can this be done | Apply the Delphi technique
# An experienced project manager has just begun working for a large information technology integrator. Her manager provides her with a draft project charter and immediately asks her to provide an analysis of the risks on the project. Which of the following would BEST help in this effort? | A conversation with a team member from a similar project that failed in the past
# You have been appointed as the manager of a new, large, and complex project. Because this project is business-critical and very visible, senior management has told you to analyze the project's risks and prepare response strategies for them as soon as possible. The organization has risk management procedures that are seldom used or followed, and has had a history of handling risks badly. | Project sponsor
# You were in the middle of a two-year project to deploy new technology to field offices across the country. A hurricane caused power outages just when the upgrade was near completion. When the power was restored, all of the project reports and historical data were lost with no way of retrieving them. What should have been done to prevent this problem? | Monitor the weather and have a contingency plan
# A system development project is nearing project closing when a previously unidentified risk is discovered. This could potentially affect the project's overall ability to deliver. What should be done NEXT? | Qualify the risk
# The cost performance index (CPI) of a project is 0.6 and the schedule performance index (SPI) is 0.71. The project has 625 work packages and is being completed over a four-year period. The team members are veryinexperienced, and the project received little support for proper planning. Which of the following is the BEST thing to do? | Update risk identification and analysis
# While preparing your risk responses, you identify additional risks. What should you do? | Document the risk items, and calculate the expected monetary value based on probability and impact that result from the occurrences
# You have just been assigned as the project manager for a new telecommunications project that is entering the second phase of the project. There appear to be many risks on this project, but no one has evaluated them to assess the range of possible project outcomes. What needs to be done? | Plan Risk Management
# During project executing, a team member identifies a risk that is not in the risk register. What should you do? | Analyze the risk
# During project executing, a major problem occurs that was not included in the risk register. What should you do FIRST? | Create a workaround
# The customer requests a change to the project that would increase the project risk. Which of the following should you do before all the others? | Analyze the impacts of the change with the team.
# Which of the following is a chief characteristic of the Delphi technique | Expert opinion
# A project has had some problems, but now seems under control. In the last few months, almost all the reserve has been used up and most of the negative impacts of events that had been predicted have occurred. There are only four activities left, and two of them are on the critical path. Management now informs the project manager that it would be in the performing organizations best interest to finish the project two weeks earlier than scheduled in order to receive an additional profit. | Opportunities
# Monte Carlo analysis is used to: | Get an indication of the risk involved in the project
# A project team is creating a project management plan when management asks them to identify project risks and provide some form of qualitative output as soon as possible. What should the project team provide? | Prioritized list of project risks
# A project manager is creating a risk response plan. However, every time a risk response is suggested, another risk is identified that is caused by the response. Which of the following is the BEST thing for the project manager to do? | Document the new risks and continue the Plan Risk Responses process
# A watchlist is an output of which risk management process? | Perform Qualitative Risk Analysis
# During the Identify Risks process, a project manager made a long list of risks identified by all the stakeholders using various methods. He then made sure that all the risks were understood and that triggers had been identified. Later, in the Plan Risk Responses process, he took all the risks identified by the stakeholders and determined ways to mitigate them. What has he done wrong? | More people should be involved in the Plan Risk Responses process
# Which of the following MUST be an agenda item at all team meetings? | Discussion of project risks
# Once signed, a contract is legally binding unless: | It is in violation of applicable law
# With a clear contract statement of work, a seller completes work as specified, but the buyer is not pleased with the results. The contract is considered to be: | Complete
# All of the following statements concerning procurement documents are incorrect EXCEPT: | Well-designed procurement documents can simplify comparison of responses
# A project manager for the seller is told by her management that the project should do whatever possible to be awarded incentive money. The primary objective of incentive clauses in a contract is to: | Synchronize objectives
# All the following statements about change control are incorrect EXCEPT: | Contracts should include procedures to accommodate changes
# A routine audit of a cost reimbursable (CR) contract determines that overcharges are being made. If the contract does not specify corrective action, the buyer should: | Continue to make project payments
# The primary objective of contract negotiations is to: | Protect the relationship
# A seller is working on a cost reimbursable (CR) contract when the buyer decides he would like to expand the scope of services and change to a fixed price (FP) contract. All of the following are the seller's options EXCEPT: | Starting over with a new contract
# Bidder conferences are part of: | Conduct Procurements
# All of the following MUST be present to have a contract EXCEPT: | Address of the seller
# Which of the following BEST describes the project manager's role during the procurement process? | The project manager should supply an understanding of the risks of the project
# What is one of the KEY objectives during contract negotiations? | Obtain a fair and reasonable price
# Which ofthe following activities occurs during the Plan Procurements process? | Make-or-buy decisions
# Which of the following is the BEST thing for a project manager to do in the Conduct Procurements process of procurement management? | Answer sellers' questions about bid documents
# The sponsor is worried about the seller deriving extra profit on the cost plus fixed fee (CPFF) contract. Each month he requires the project manager to submit CPI calculations and an analysis of the cost to complete. The project manager explains to the sponsor that extra profits should NOT be a worry on this project because: | All costs invoiced are being audited
# In a fixed price (FP) contract, the fee or profit is: | Unknown
# A project performed under a cost reimbursable contract has finally entered the Close Procurements process. What MUST the buyer remember to do? | Audit seller's cost submittals
# The sponsor and the project manager are discussing what type of contract the project manager plans to use on the project. The buyer points out that theperforming organization spent a lot of money hiring a design team to come up with the design. The project manager is concerned that the risk for the buyer be as small as possible. An advantage of a fixed price contract for the buyer is: | Cost risk is lower
# As part of the records management system, you are trying to make sure thatall records from the procurement are documented and indexed. Which of the following do you NOT have to worry about? | Negotiation process
# You are in the middle of a complex negotiation when the other party says, "We need to finish in one hour because I have to catch my plane:' That person is using which of the following negotiatian strategies? | Deadline
# Which of the following is an advantage of centralized contracting? | Increased expertise
# With which type of contract is the seller MOST concerned about project scope? | Fixed price 
# Your company has an emergency and needs contracted work done as soon as possible. Under these circumstances, which of the following would be the MOST helpful to add to the contract? | Incentives
# During what part of the procurement process does procurement negotiation occur? | Conduct Procurements
# The project team is arguing about the prospective sellers who have submitted proposals. One team member argues for a certain seller while another team member wants the project awarded to a different seller. What part of the procurement process is the team in? | Conduct Procurements
# The project team seems to like to argue; they have argued about everything. Luckily the project manager has set in place a reward system and team-building sessions that will help and encourage the team to cooperate more. The Iatest thing they are arguing about is whether they should complete a work package themselves or outsource the work to someone else. What part of the procurement process must they be in? | Plan Procurements
# A project manager is in the middle of creating a request for proposal (RFP). What part of the procurement process is she in? | Plan Procurements
# Your program manager has come to you, the project manager, for help with a bid for her newest project. You want to protect your company from financial risk. You have limited scope definition. What is the BEST type of contract to choose? | Cost plus fixed fee (CPFF)
# Negotiations between two parties are becoming complex, so party A makes some notes that both parties sign. However, when the work is being done, party B claims that they are not required to provide an item they both agreed toduring negotiations, because it was not included in the subsequent contract. In this case, party B is: | Generally correct, because both parties are only required to perform what is in the contract
# Your project has just been fast tracked and you are looking to quickly bring in a subcontractor to complete networking. There is no time to issue a request for proposal (RFP), so you choose to use a company you have used many times before for software development. A PRIMARY concern in this situation is: | The subcontractor's qualifications
# The project manager and project sponsor are discussing the project costs and whether it is better to have their own company do part of the project or hire another company to do the work. If they asked for your opinion, you might say it would be better to do the work yourself if: | There is a lot of proprietary data
# After much excitement and hard work, the procurement statement of work for the project is completed. Even after gaining agreement that the procurement statement of work is complete, the project manager is still concerned whether it actually addresses all the buyer's needs. The project manager is about to attend the bidder conference. He asks you for advice on what to do during the session. Which of the following is the BEST advice you can give him? | Make sure you give all the sellers enough time to ask questions. They may not want to ask questions while their competitors are in the room
# A seller is awarded a contract to build a pipeline. The contract terms and conditions require that a work plan be issued for the buyer's approval prior to commencing work, but the seller fails to provide one. Which of the following is the BEST thing for the buyer's project manager to do? | Issue a default letter
# Close Procurements is different from Close Project or Phase in that Close Procurements: | Occurs before project closure
# You have just started administering a contract when management decides to terminate the contract. What should you do FIRST? | Go to the Close Procurements process
# The project team is arguing about the prospective sellers who have submitted proposals. One team member argues for a certain seller while another team member wants the project to be awarded to a different seller, The BEST thing the project manager should remind the team to focus on in order to make a selection is the: | Evaluation criteria
# The performing organization is trying to decide whether to split the contracts department and assign procurement responsibilities to departments directly responsible for the projects. A procurement professional might not want this split to occur because they would lose ____ in a decentralized contracting environment. | Access to others with similar expertise
# During project executing, your project team member delivers a project deliverable to the buyer. However, the buyer refuses the deliverable, stating that it does not meet the requirement on page 300 of the technical specifications. You review the document and find that you agree. What is the BEST thing to do? | Review the requirements and meet with the responsible team member to review the WBS dictionary
# What type of contract do you NOT want to use if you do not have enough labor to audit invoices? | Cost plus fixed fee (CPFF) 
# A new project manager is about to begin creating the procurement statement of work. One stakeholder wants to add many items to the procurement statement of work. Another stakeholder only wants to describe the functional requirements. The project is important for the project manager's company, but a seller will do the work. How would you advise the project manager? | The procurement statement of work should be as detailed as necessary for the type of project
# When a product or service completely meets a customer's requirements: | Quality is achieved
# To what does the following sentence refer? "The point where the benefits or revenue to be received from improving quality equals the incremental cost to achieve that quality" | Marginal analysis
# A project has faced major difficulties in the quality of its deliverables. Management now states that quality is the most important project constraint. If another problem with quality were to occur, what would be the BEST thing for the project manager to do? | Allow cost to increase by fixing the root cause of the problem
# A manager notices that a project manager is holding a meeting with some of the team and some stakeholders to discuss the quality of the project. The project schedule has been compressed, and the CPI is 1.1. They have worked hard on the project, the team has been rewarded according to the reward system the project manager put in place, and there is a strong sense of team. The manager suggests that the project manager does not have enough time to hold meetings about quality when the schedule is so compressed. Which of the following BEST describes why the manager is wrong? | Improved quality leads to increased productivity, increased cost effectiveness, and decreased cost risk
# From the project perspective, quality attributes: | Are specific characteristics for which a product is designed and tested
# Quality is: | The degree to which the project meets requirements 
# All the following are examples of Perform Quality Control EXCEPT: | Cost of quality
# Pareto charts help the project manager: | Focus on the most critical issues to improve quality
# A control chart helps the project manager: | Determine if a process is functioning within set limits
# Testing the entire population would: | Take too long
# All of the following are examples of the cost of nonconformance EXCEPT: | Quality training
# Standard deviation is a measure of how: | Far the measurement is from the mean
# What percentage of the total distribution is 3 sigma from the mean equal to? | 99.73%
# All of the following result from quality audits EXCEPT | Creation of quality metrics
# A control chart shows seven data points in a row on one side of the mean. What should be done? | Find an assignable cause
# You are managing a project in a just-in-time environment. This will require more attention, because the amount of inventory in such an environment is generally: | 0 percent
# In planning your project, which would generally have the highest priority: quality, cost, or schedule? | It should be decided for each project
# You are the program level manager with several project activities underway. In the executing process group, you begin to become concerned about the accuracy of progress reports from the projects. What would BEST support your opinion that there is a problem? | Quality audits
# A project manager and team from a firm that designs railroad equipment are tasked to design a machine to load stone onto railroad cars. The design allows for two percent spillage, amounting to over two tons of spilled rock per day. In which of the following does the project manager document quality control, quality assurance, and quality improvements for this project? | Quality management plan
# During a team meeting, the team adds a specific area of extra work to the project because they have determined it would benefit the customer. What is wrong in this situation? | The team is gold plating
# The project team has created a plan for how they will implement the quality policy. It addresses the organizational structure, responsibilities, procedures, and other information about plans for quality. If this changes during the project, WHICH of the following plans will also change? | Project management
# You are a project manager for a major information systems project. Someone from the quality department comes to see you about beginning a quality audit of your project. The team, already under pressure to complete the project as soon as possible, objects to the audit. You should explain to the team that the purpose of a quality audit is:| To identify inefficient and ineffective policies
# You are in the middle of a major new facility construction project. The structural steel is in place and the heating conduits are going into place, when a senior manager informs you that he is worried that the project will not meet the quality standards. What should you do in this situation? | Form a quality assurance team
# You are asked to select tools and techniques to implement a quality assurance program to supplement existing quality control activities. Which of the following would NOT be appropriate for this purpose? | Focus groups
# The new software installation project is in progress. The project manager is working with the quality assurance department to improve everyone's confidence that the project will satisfy the quality standards. Which of the following MUST they have before they start this process? | Quality control measurements
# The project you are working on has an increase in cost effectiveness, increased productivity, and increased morale. What might be the reason for these changes? | Increased quality
# A project manager has just taken over the project from another project manager during the execution of the project. The previous project manager created a project budget, determined communications requirements, and went on to complete work packages. What should the new project manager do NEXT? | Identify quality standards
# A project is facing a major change to its project deliverables. If the project manager is involved in determining which quality standards are relevant to the change, the project manager must be involved in: | Plan Quality
# At the end of a project, a project manager determines that the project has added four areas of functionality and three areas of performance. The customer has expressed satisfaction with the project. What does this mean in terms of success of the project? | The project was unsuccessful because it was gold plated
# During project executing, a project team member informs the project manager that a work package has not met the quality metric, and that she believes it is not possible to meet it. The project manager meets with all parties concerned to analyze the situation. Which part of the quality management process is the project manager involved in? | Perform Quality Control
# The project manager notices that project activities being completed by one department are all taking slightly longer than planned. To date, none of theactivities/work packages have been on the critical path, nor have they affected the critical chain planning that has occurred. The project manager is bothered by the problem, since four of the next five critical path activities are being completed by this department. After making three calls, the project manager is finally able to converse with the department manager to determine what is going on. The conversation is slow, because both speak different native languages and they are trying to converse in French, a shared language. | Work on increasing the effectiveness of the performing organization by recommending continuous improvement of the policy in question
# As the project manager, you are preparing your methods for quality management. You are looking for a method that can demonstrate the relationship between events and their resulting effects. You want to use a method to depict the events that cause a negative effect on quality. Which of the following is the BEST choice for accomplishing your objective? | Ishikawa diagram
# Which of the following explains why quality is planned in and not inspected in? | It improves quality and is less expensive
# Work on a project is ongoing when the project manager overhears two workers arguing over what a set of instructions mean. The project manager investigates and discovers that the instructions for the construction of the concrete footings currently being poured were poorly translated between the different languages in use on the project. Which of the following is the BEST thing for the project manager to do FIRST? | Look for quality impacts of the poor translation of the instructions for the footings
# All of the following are forms of power derived from the project manager's position EXCEPT: | Expert
# The highest point of Maslow's hierarchy of needs is called: | Esteem
# The halo effect refers to the tendency to: | Move people into project management because they are good in their technical fields.
# The sponsor's role on a project is BEST described as: | Helping to prevent unnecessary changes to project objectives
# Which of the following conflict resolution techniques will generate the MOST lasting solution? | Problem solving
# The MOST common causes of conflict on a project are schedules, project priorities, and: | Resources
# What conflict resolution technique is a project manager using when he says, "I cannot deal with this issue now!" | Withdrawal
# What does a resource histogram show that a responsibility assignment matrix does not? | Time
# You have just been assigned as project manager for a large telecommunications project. This one-year project is about halfway done. The project team consists of 5 sellers and 20 of your company's employees. You want to understand who is responsible for doing what on the project. Where would you find such information? | Responsibility assignment matrix
# During project planning in a matrix organization, the project manager determines that additional human resources are needed. From whom would he request these resources? | Functional manager
# A project manager must publish a project schedule. Activities, start/end times, and resources are identified. What should the project manager do NEXT? | Confirm the availability of the resources
# During every project team meeting, the project manager asks each team member to describe the work he or she is doing, and the project manager assigns new activities to team members. The length of these meetings has increased because there are many different activities to assign. This could be happening for all the following reasons EXCEPT: | Lack of resource leveling
# You are a project manager leading a cross-functional project team in a weak matrix environment. None of your project team members report to you functionally, and you do not have the ability to directly reward their performance. The project is difficult, involving tight date constraints and challenging quality standards. Which of the following types of project management power will likely be the MOST effective in this circumstance? | Expert
# A team member is not performing well on the project because she is inexperienced in system development work. There is no one else available who is better qualified to do the work. What is the BEST solution for the project manager? | Arrange for the team member to get training
# A project manager has just found out that a major subcontractor for her project is consistently late delivering work. The project team member responsible for this part of the project does not get along with the subcontractor. To resolve the problem, the project manager says, "You both will have to give up something to solve this problern," What conflict resolution method is she using? | Compromise
# A project has several teams. Team C has repeatedly missed deadlines in the past. This has caused team D to have to crash the critical path several times. As the team leader for team D, you should meet with the: | Project manager and the leader of team C
# The new project is exciting to both the project manager and the team. This is the project manager's first assignment as project manager. The team has the feeling that they will be able to complete work that has never been tried before. There are 29 people contributing to the product description, and the team consists of nine highly experienced experts in their field. Part of the way through planning, three highly technical team members are disagreeing about the scope of two of the deliverables. | He should listen to the differences of opinions, encourage logical discussions, and facilitate an agreement
# The project is just starting out and consists of people from 14 different departments. The project charter was signed by one person and contains over 30 major requirements that must be met on the project. The sponsor has informed the project manager that the SPI must be kept between 0.95 and 1.1. A few minutes of investigation resulted in the identification of 34 stakeholders, and the schedule objectives on the project are constrained. A project manager has just been hired. Which of the following types of project management power will BEST help the project manager gain the cooperation of others? | Formal
# A project manager is trying to settle a dispute between two team members. One says the systems should be integrated before testing, and the other maintains each system should be tested before integration. The project involves over 30 people, and 12 systems need to be integrated. The sponsor is demanding that integration happen on time. What is the BEST statement the project manager can make to resolve the conflict? | Let's do limited testing before integration and finish testing after integration
# A project is in the middle of execution when a stakeholder suggests a major new change. This change will cause the third major overhaul of the project. At the same time, the project manager discovers that a major work package was not completed because a team member's boss moved him to another project that had a higher priority. Which of the following is the BEST person for the project manger to address these issues with? | The sponsor
# What theory proposes that employees' efforts will lead to effective performance and the employees will be rewarded for accomplishments? | Expectancy
# Conflict resolution techniques that may be used on a project include confronting, smoothing, forcing, and: | Withdrawing
# The installation project has a CPI of 1.03 and an SPI of 1.0. There are 14 team members, and each team member had input into the final project management plan. The customer has accepted the three deliverables completed so far without complaint and the responsibility assignment matrix has not changed since the project began. The project is being completed in a matrix environment and there are no contracts needed for the project. Though the sponsor is happy with the status of the project, one of the team members is always complaining about how much time his project work is taking. Which of the following would be the BEST thing for the project manager to do? | Review the reward system for the project
# The project has been challenging to manage. Everyone has been on edge due to pressure to complete the project on time. Unfortunately, the tension has grown to the point where team meetings have become shouting matches and little work is accomplished during the meetings. One team member asks to be excused from future team meetings, as all the shouting upsets him. Meanwhile, the sponsor has asked to attend team meetings in order to better understand how the project is going and the issues involved in completing the project, and the customer has started discussions about adding scope to the project. In this situation, it would be BEST for the project manager to: | Create new ground rules for the meetings and introduce them to the team
# Project performance appraisals are different from team performance assessments in that project performance appraisals focus on: | How an individual team member is performing on the project
# A project manager had a complex problem to solve and made a decision about what needed to be done. A few months later, the problem resurfaced. What did the project manager MOST likely not do? | Confirm that the decision solved the problem
# The project CPI is 1.02, the benefit cost ratio is 1.7, and the latest round of performance reviews identified few needed adjustments. The project team was co-located into a new building when the project started. Everyone commented on how excited they were to have all new facilities. The sponsor is providing adequate support for the project, and few unidentified risks have occurred. In an attempt to improve performance, the project manager spends part of the project budget on new chairs for the team members and adds the term "senior" to each team member's job title. Which of the following is the MOST correct thing that can be said of this project or the project manager? | The project manager has misunderstood Herzberg's theory
# You just found out that a major subcontractor for your project consistently provides deliverables late. The subcontractor approaches you and asks you to continue accepting late deliverables in exchange for a decrease in project costs. This offer is an example of: | Compromise
# The management theory that states that all people can direct their own efforts is: | Theory Y
# Which of the following leadership traits is MOST important for a project manager? | Communication
# During the first half of the project, five team members left for other projects without being replaced, two team members went on vacation without informing you, and other team members expressed uncertainty about the work they were to complete. In this situation, it is BEST if you create a _____ for the second half of the project. | Staffing management plan
# The project manager is looking at the project's resource needs and lessons learned from past projects. This information causes the project manager to be concerned about the ability to acquire enough resources for the project in six months. Which of the following would be the LEAST effective preventive action? | Make sure functional managers have a copy of the resource histogram
# A large project is underway when one of the team members reviews the project status report. He sees that the project is currently running late. As he looks at the report further, he notices that the delay will cause one of his activities to be scheduled during a time he will be out of the country and cannot work on the activity. This is of great concern because he is very committed to the project being successful and he does not want to be the cause of the project being further delayed. What is the BEST THING for him to do? | Recommend preventive action
# There have been many work packages completed successfully on the project, and the sponsor has made some recommendations for improvements. The project is on schedule to meet an aggressive deadline when the successor activity to a critical path activity suffers a major setback. The activity has 14 days of float and is being completed by four people. There are two other team members with the skill set to assist the troubled activity, if needed. The project manager receives a call that three other team members are attempting to be removed from the project because they do not feel the project can be successful. When the project manager pursues this, she discovers that those team members have issues that have not been addressed. Which of the following is the BEST thing to do to improve the project? | Create an issue log
# To control the schedule, a project manager is reanalyzing the project to predict project duration. She does this by analyzing the sequence of activities with the least amount of scheduling flexibility. What technique is she using? | Critical path method
# A dependency requiring that design be completed before manufacturing can start is an example of a: | Mandatory dependency
# Which of the following are GENERALLY illustrated BETTER by bar charts than network diagrams? | Progress or status
# If the optimistic estimate for an activity is 12 days, and the pessimistic estimate is 18 days, what is the standard deviation of this activity? | 1
# A heuristic is BEST described as a: | Rule of thumb
# Lag means: | Waiting time
# Which of the following is the BEST project management tool to use to determine the longest time the project will take? | Network diagram
# Which of the following is CORRECT | The critical path helps prove how long the project will take
# What is the duration of a milestone? | There is no duration
# Which ofthe following BEST describes the relationship between standard deviation and risk? | Standard deviation tells you how unsure the estimate is
# The float of an activity is determined by | Determining the amount of time the activity can be delayed before it delays the critical path
# A project has three critical paths. Which of the following BEST describes how this affects the project? | It increases the project risk
# If project time and cost are not as important as the number of resources used each month, which of the following is the BEST thing to do? | Perform resource leveling
# When would a milestone chart be used instead of a bar chart? | Reporting to management
# Your project management plan results in a project schedule that is too long. If the project network diagram cannot change but you have extra personnel resources, what is the BEST thing to do? | Crash the project
# Which of the following is the BEST thing to do to try to complete a project two days earlier? | Meet with the team and look for options for crashing or fast tracking the critical path
# In attempting to complete the project faster, the project manager looks at the cost associated with crashing each activity. The BEST approach to crashing would also indude looking at the: | Risk impact of crashing each activity
# Which of the following processes incudes asking team members about the time estimates for their activities and reaching agreement on the calendar date for each activity? | Develop Schedule
# A project manager is in the middle of the executing process of a very large construction project when he discovers that the time needed to complete the project is longer than the time available. What is the BEST thing to do? | Determine options for schedule compression and present management with his recommended option
# During project planning, you estimate the time needed for each activity and then add the estimates to create the project estimate. You commit to completing the project by this date. What is wrong with this scenario? | The team did not create the estimate, and a network diagram was not used
# You are a project manager on a $5,000,000 software development project. While working with your project team to develop a network diagram, you notice a series of activities that can be worked in parallel but must finish in a specific sequence. What type of activity sequencing method is required for these activities? | Precedence diagramming method
# You are a project manager on a $5,000,000 software development project. While working with your project team to develop a network diagram, your data architects suggest that quality could be improved if the data model is approved by senior management before moving on to other design elements. They support this suggestion with an article from a leading software development journal. Which of the following BEST describes what this type of input is called? | Discretionary dependency
